"Data Source","世界发展指标",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"阿鲁巴","ABW","二氧化碳强度（千克/石油当量能源使用千克数）","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","二氧化碳强度（千克/石油当量能源使用千克数）","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","1.92760074258926","1.92353265886521","1.89435722813473","1.86992531376713","1.85902581779334","1.88092176096947","1.89195734212779","1.86231826241576","1.9487456632821","1.95377428395063","2.04145220730872","2.06995247422147","2.11469444868719","2.1348047244633","2.1511218032194","2.1319065592294","2.07818710117446","2.09091854977815","2.10218017555661","1.60819764052278","1.52488388734105","1.53500152966779","1.50433068134688","1.48418332412979","1.50715239986758","1.52203699573044","1.55812017549538","1.57945506067785","1.4765123248736","1.49329174606832","1.60575973545555","1.64391666460682","1.67181413288619","1.70693439599338","1.68758596128245","1.68636533626727","1.6935843149162","1.71066567310991","1.63806735205079","1.70646871325305","1.64604578940594","1.68557943256546","1.70786904693025","1.75083161155932","","","","","","","",
"阿富汗","AFG","二氧化碳强度（千克/石油当量能源使用千克数）","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","二氧化碳强度（千克/石油当量能源使用千克数）","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","0.947964086253802","1.12103436753522","1.30092258457152","1.53755009001738","1.21737311902787","1.29158867854926","1.17598918752388","1.13145247444433","1.45305595421909","1.40305412718645","1.31417109434749","1.3022898044498","1.17362270276209","1.29940421231729","1.30043323433307","1.22613311505673","1.01764474659768","1.16766851204526","0.879408696207723","0.97239120678566","1.03620084552368","1.1175761660869","1.12016937671539","1.10482364895178","1.09239323832599","1.11069039456201","1.05924863342673","1.00843623448926","0.972215804870569","0.951019016010306","0.994898643692471","0.980873844428102","0.953103513205732","0.968156953407103","1.03129395263278","0.99329880223571","0.954927273090046","0.900890503179282","0.809583051584154","0.871607496468343","0.901052746889454","0.86522990737304","0.904595425611366","0.93143374650274","","","","","","","",
"安哥拉","AGO","二氧化碳强度（千克/石油当量能源使用千克数）","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","0.885622741347915","1.08710978987698","1.1815893623532","1.15488563690312","1.07138076649986","0.806774323925478","0.880423401658738","1.22538905735576","1.22909320951071","1.17168950552228","1.14963814727398","1.0262721807817","1.09851200050164","1.06469235412646","0.942062982494531","0.92334508855244","1.1250156927551","0.953646898432175","0.910853457449323","1.0759531108813","1.08398996620375","1.05156585088598","1.09983505662078","1.05198008125249","1.69647377382165","1.74498957823709","1.75569391893783","1.70611539582327","1.80717409543794","1.72038883291019","1.71981760075454","1.73430631058294","2.12522370310023","2.2124266811088","2.16119961888829","2.20018979611683","2.38212632510214","2.34968129402608","2.3405690970912","2.34472754767222","2.33108846718115","2.18116929132836","2.36349604128816","2.36015839981942","","","","","","","",
"阿尔巴尼亚","ALB","二氧化碳强度（千克/石油当量能源使用千克数）","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","2.53387087572723","2.90658069779407","3.02061204789841","2.37987384802943","2.3104526620673","2.26003363720033","2.4637926467643","2.50353870096387","3.35363379950485","1.68333845017364","2.7224257077855","2.71532241135569","2.68291256886124","2.64596768930773","2.90000581444986","2.76510124931356","2.61859098606492","2.51319030557904","3.10478115874415","2.2635446960284","2.19650077652448","1.64925014338905","1.55537939610704","1.51202234401617","1.46680838292274","1.38849732168029","1.22231921857463","1.3484257129801","1.65808130404466","1.76782491729702","1.76174335995098","1.86213913605682","2.08610063126116","1.98105209104897","1.87815612138149","1.91461298816722","2.08993557352636","1.99064444846498","2.01504661427856","2.15626621319164","2.26783592207104","2.29553798538975","2.06472280988515","2.23486361552126","","","","","","","",
"安道尔共和国","AND","二氧化碳强度（千克/石油当量能源使用千克数）","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"阿拉伯联盟国家","ARB","二氧化碳强度（千克/石油当量能源使用千克数）","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","4.87955053241173","5.12328042720921","5.41985716731816","4.97003884011688","4.55230993832298","4.96638475360087","4.77433301157885","4.48706027323007","4.0249271247929","4.00582281749249","3.40382678970339","2.91656909858774","2.88604796676234","3.07782298205658","3.07647979208546","3.2546977073751","2.99806533575685","2.92503811941108","2.82742892975572","2.75175724114626","2.77085478339836","2.5932733284551","2.59720485257758","2.58485733287901","2.5973869936464","2.58300012059991","2.55949207390626","2.53991776783218","2.54351282689643","2.56780464985482","2.53486392653805","2.51816508528639","2.54558270424354","2.53212716738056","2.60140860775753","2.55550078180867","2.55952685488241","2.57389491617069","2.56615961159155","2.55572236083063","2.59836420707332","2.57489131147331","2.62762348014829","2.6250303714183","","","","","","","",
"阿拉伯联合酋长国","ARE","二氧化碳强度（千克/石油当量能源使用千克数）","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","20.933889679434","22.3137222816304","23.4727970916537","23.3576108822113","16.037284678209","16.1127895688372","9.44300045333189","9.39446106231032","6.57317019960479","5.10291337957728","4.1547623167504","3.81423871863987","3.79445233914249","3.8414447677189","3.63962594952396","3.03091824104868","2.75682251839452","2.72574874258584","2.65966122970291","2.71248620561223","2.61837146491114","2.66762768058227","2.64315479471257","2.62112322096395","2.62382994576684","2.59358014162638","2.63787939757895","2.6555482224913","2.66731873305089","2.68192008982116","2.39440252070439","2.46066515651242","2.63900001552353","2.62779059390505","2.61315543980285","2.62912656631741","2.62644720851083","2.63322873020451","2.62171391937107","2.63932416313267","2.58517749500404","2.56952575500308","2.63193142407605","2.60863290905919","","","","","","","",
"阿根廷","ARG","二氧化碳强度（千克/石油当量能源使用千克数）","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","2.6432196825637","2.63647530285868","2.64314532489828","2.63243896278394","2.64178335334657","2.68288883037829","2.63969906049115","2.63697496712367","2.6935370986026","2.60070492793022","2.49920839238775","2.51816872980623","2.51564631904263","2.45896794091645","2.43287367814712","2.37575335081332","2.48413056846231","2.53880721601774","2.51768751567897","2.16744742751409","2.21799173315816","2.14971633857109","2.21694837565253","2.13620275610511","2.10585943128325","2.25843393738114","2.20150656570976","2.22651050229305","2.20578336376785","2.14290013453436","2.13248069171683","2.06409127279121","2.10790845837681","2.13236555856064","2.18642455092974","2.13403383448356","2.21874240031914","2.16517999129035","2.08490994384846","2.1373707258719","2.20077004603726","2.20873294629721","2.21649125387007","2.07710390733366","","","","","","","",
